id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
14264958,JK337079,2026-07-16T22:00:00.000,021XX W CONGRESS PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1225,012,27,28,07,1162307,1897707,2026,2026-07-25T16:47:30.000,41.874969467,-87.679540889,"{'latitude': '41.874969467', 'longitude': '-87.679540889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,89,46,28,15,139,27
14264816,JK336896,2026-07-16T22:00:00.000,082XX W IRVING PARK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1614,016,38,17,08B,1120462,1925549,2026,2026-07-25T16:47:30.000,41.952143833,-87.83258464,"{'latitude': '41.952143833', 'longitude': '-87.83258464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,22254,17,445,19,52,12,44,38
14264416,JK336317,2026-07-16T21:52:00.000,014XX E 67TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,FIRE STATION,False,False,0321,003,5,42,14,1186980,1860856,2026,2026-07-25T16:47:30.000,41.77329663,-87.590123498,"{'latitude': '41.77329663', 'longitude': '-87.590123498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,9,134,33,60,18,206,3
14264394,JK336335,2026-07-16T21:50:00.000,064XX N MOZART ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2412,024,50,2,04A,1156160,1942664,2026,2026-07-25T16:47:30.000,41.998460955,-87.700892475,"{'latitude': '41.998460955', 'longitude': '-87.700892475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,40,27,12,11,46,50
14265509,JK336289,2026-07-16T21:50:00.000,015XX S DRAKE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1021,010,24,29,04B,1152957,1892184,2026,2026-07-25T16:47:30.000,41.860004046,-87.71401667,"{'latitude': '41.860004046', 'longitude': '-87.71401667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,772,14,57,21,153,24
14264304,JK336299,2026-07-16T21:48:00.000,002XX W GARFIELD BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA TRAIN,False,False,0935,009,20,37,11,1175647,1868500,2026,2026-07-25T16:47:30.000,41.794533814,-87.631438536,"{'latitude': '41.794533814', 'longitude': '-87.631438536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21559,66,166,9,37,23,117,20
14264987,JK337280,2026-07-16T21:45:00.000,013XX N SPRINGFIELD AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,2535,025,36,23,06,1150131,1908806,2026,2026-07-25T16:47:30.000,41.905672097,-87.723956979,"{'latitude': '41.905672097', 'longitude': '-87.723956979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,4299,24,454,49,5,6,193,36
14264500,JK336532,2026-07-16T21:45:00.000,030XX N MELVINA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2511,025,30,19,07,1134546,1919372,2026,2026-07-25T16:47:30.000,41.934955995,-87.780956947,"{'latitude': '41.934955995', 'longitude': '-87.780956947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22254,19,81,21,52,6,179,30
14264266,JK336302,2026-07-16T21:45:00.000,019XX W DIVISION ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1424,014,1,24,06,1163265,1908008,2026,2026-07-25T16:47:30.000,41.903216162,-87.675733667,"{'latitude': '41.903216162', 'longitude': '-87.675733667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,21560,25,481,41,4,15,63,1
14264358,JK336301,2026-07-16T21:45:00.000,004XX N WELLS ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,1831,018,42,8,07,1174655,1903373,2026,2026-07-25T16:47:30.000,41.890250263,-87.63403495,"{'latitude': '41.890250263', 'longitude': '-87.63403495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,4446,37,652,36,55,14,73,42
14264298,JK336295,2026-07-16T21:37:00.000,036XX W DOUGLAS BLVD,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",ALLEY,False,False,1011,010,24,29,08B,1152131,1893208,2026,2026-07-25T16:47:30.000,41.86283033,-87.71702173,"{'latitude': '41.86283033', 'longitude': '-87.71702173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,155,24
14264314,JK336298,2026-07-16T21:35:00.000,016XX E 91ST ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,0413,004,8,48,18,1188664,1844962,2026,2026-07-25T16:47:30.000,41.729641924,-87.584457568,"{'latitude': '41.729641924', 'longitude': '-87.584457568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,44,492,35,25,19,246,10
14264384,JK336273,2026-07-16T21:35:00.000,036XX W DOUGLAS BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,False,True,1011,010,24,29,04B,1152131,1893208,2026,2026-07-25T16:47:30.000,41.86283033,-87.71702173,"{'latitude': '41.86283033', 'longitude': '-87.71702173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,155,24
14264617,JK336698,2026-07-16T21:30:00.000,001XX W MONROE ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0122,001,42,32,06,1174915,1899883,2026,2026-07-25T16:47:30.000,41.880667683,-87.63318469,"{'latitude': '41.880667683', 'longitude': '-87.63318469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14311,38,92,36,34,22,79,42
14264539,JK336518,2026-07-16T21:30:00.000,087XX S BURLEY AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,0424,004,10,46,26,1199188,1847544,2026,2026-07-25T16:47:30.000,41.736469407,-87.545819513,"{'latitude': '41.736469407', 'longitude': '-87.545819513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,509,47,25,19,239,6
14265011,JK337141,2026-07-16T21:30:00.000,016XX S SPRINGFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,1014,010,24,29,07,1150667,1891521,2026,2026-07-25T16:47:30.000,41.858229716,-87.72244002,"{'latitude': '41.858229716', 'longitude': '-87.72244002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,752,14,57,21,156,24
14264594,JK336570,2026-07-16T21:30:00.000,082XX S TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0835,008,18,70,14,1156811,1849898,2026,2026-07-25T16:47:30.000,41.743888371,-87.701011496,"{'latitude': '41.743888371', 'longitude': '-87.701011496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,243,30,8,13,226,18
14271866,JK345336,2026-07-16T21:30:00.000,011XX N DEARBORN ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1824,018,2,8,06,,,2026,2026-07-25T16:47:30.000,,,,,,,,,,,,
14264724,JK336573,2026-07-16T21:30:00.000,067XX N GLENWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,2432,024,49,1,14,1165705,1945014,2026,2026-07-25T16:47:30.000,42.00471058,-87.665712146,"{'latitude': '42.00471058', 'longitude': '-87.665712146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,47,5,9,11,41,49
14269134,JK336275,2026-07-16T21:20:00.000,061XX N ELSTON AVE,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,1611,016,39,10,08B,1133998,1940279,2026,2026-07-25T16:47:30.000,41.99233654,-87.782476935,"{'latitude': '41.99233654', 'longitude': '-87.782476935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,22532,36,656,38,18,12,34,39
14264499,JK336535,2026-07-16T21:15:00.000,024XX S HOYNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1034,010,25,31,07,1162752,1887878,2026,2026-07-25T16:47:30.000,41.847988445,-87.67818242,"{'latitude': '41.847988445', 'longitude': '-87.67818242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,126,26,43,21,159,25
14264234,JK336255,2026-07-16T21:13:00.000,047XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1131,011,24,25,08B,1144813,1897272,2026,2026-07-25T16:47:30.000,41.874123475,-87.743783138,"{'latitude': '41.874123475', 'longitude': '-87.743783138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,22216,26,69,14,32,16,143,24
14264957,JK336305,2026-07-16T21:10:00.000,014XX W 68TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,0725,007,17,67,11,1167731,1859649,2026,2026-07-25T16:47:30.000,41.770419273,-87.660720159,"{'latitude': '41.770419273', 'longitude': '-87.660720159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,22257,65,284,2,23,17,204,16
14264258,JK336236,2026-07-16T21:07:00.000,037XX S HERMITAGE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,0912,009,12,59,04B,1165295,1880012,2026,2026-07-25T16:47:30.000,41.826349726,-87.669072772,"{'latitude': '41.826349726', 'longitude': '-87.669072772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14924,56,721,1,37,23,165,12
14264429,JK336264,2026-07-16T21:05:00.000,018XX S HAMLIN AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,False,1014,010,24,29,08B,1151341,1890895,2026,2026-07-25T16:47:30.000,41.856498711,-87.719982412,"{'latitude': '41.856498711', 'longitude': '-87.719982412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,800,14,57,21,156,24
14264284,JK336287,2026-07-16T21:03:00.000,039XX W CORTLAND ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,2535,025,26,20,08A,1149995,1912339,2026,2026-07-25T16:47:30.000,41.915369638,-87.724364417,"{'latitude': '41.915369638', 'longitude': '-87.724364417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22535,21,135,49,1,6,193,26
14264295,JK336231,2026-07-16T21:01:00.000,051XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0231,002,3,40,14,1179363,1871074,2026,2026-07-25T16:47:30.000,41.801513039,-87.617733588,"{'latitude': '41.801513039', 'longitude': '-87.617733588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21192,7,218,9,10,24,125,8
14267382,JK339977,2026-07-16T21:00:00.000,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,False,False,1713,017,33,14,14,1153017,1931689,2026,2026-07-25T16:47:30.000,41.968408072,-87.712747145,"{'latitude': '41.968408072', 'longitude': '-87.712747145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21849,14,750,20,20,1,1,33
14264291,JK336257,2026-07-16T21:00:00.000,118XX S BISHOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,0524,005,21,53,26,1168798,1826246,2026,2026-07-25T16:47:30.000,41.6787335,-87.657769856,"{'latitude': '41.6787335', 'longitude': '-87.657769856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,50,642,22,13,10,220,21
